Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Hannah,What Else is Revealed by Order-Revealing Encryption?,https://dl.acm.org/authorize.cfm?key=N14321,CCS,2016,No,Existing,one synthetic geographic distribution Globe,Public,No,/,Research,Macro-level Internet Characteristics,Applications,,9
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Existing,"Our primary dataset consists of changes made to the .com zone, the largest TLD, for a five-month period, March_研July 2012, ",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,9
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Existing,"We also obtain the DNZA data of .net zone for five months, from October 2014 to February 2015,",No,No,/,Research,Macro-level Internet Characteristics,Applications,,9
Hannah,铮o窬o駣_研 Forward Secure Searchable Encryption,https://dl.acm.org/authorize.cfm?key=N14320,CCS,2016,No,Existing,English Wikipedia,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,10
Hannah,Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition,https://dl.acm.org/authorize.cfm?key=N14451,CCS,2016,No,Existing,"roughly 1000 images per celebrity for training, for a total of about 2.6M images.",Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,32
Hannah,Online Tracking: A 1-million-site Measurement and Analysis,https://dl.acm.org/authorize.cfm?key=N14340,CCS,2016,No,Existing,All of our measurements use the Alexa top 1 million site list,Public,No,http://www.alexa.com/topsites,Industry,Macro-level Internet Characteristics,Applications,,52
Hannah,Online Tracking: A 1-million-site Measurement and Analysis,https://dl.acm.org/authorize.cfm?key=N14340,CCS,2016,No,Existing,use two popular tracking-protection lists for this purpose: EasyList ,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,52
Hannah,Online Tracking: A 1-million-site Measurement and Analysis,https://dl.acm.org/authorize.cfm?key=N14340,CCS,2016,No,Existing,use two popular tracking-protection lists for this purpose:  EasyPrivacy,Public,No,/,Industry,Macro-level Internet Characteristics,Applications,,52
Hannah,Deep Learning with Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14365,CCS,2016,No,Existing,The  popular image datasets: CIFAR-10,"Public",No,/,Industry,Macro-level Internet Characteristics,Applications,,64
Hannah,Deep Learning with Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14365,CCS,2016,No,Existing,"The  popular image datasets: MNIST","Public",No,/,Industry,Macro-level Internet Characteristics,Applications,,64
Hannah,GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,No,Existing,"We use the OEC10 dataset to infer the economical relationship between countries, ",Public,No,http://atlas.media.mit.edu/en/resources/data/,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,No,Existing,We use the DNS Census dataset composed of about 2.5 billion DNS records to find the domain names belonging to various censoring countries.,Public,No,https://dnscensus2013.neocities.org/index.html  ,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,No,Existing,"We use CAIDA_验s _岩Jan 2016_褲 AS relationships database to model the business relationship between ASes, ",Public,No,  http://www.caida.org/data/as-relationships/,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,CCS,2016,No,Existing,"We use CAIDA_验s AS rank dataset to map between ASes and IP address ranges, also for AS sizes, ",Public,No, http://as-rank.caida.org/ ,Industry,Macro-level Internet Characteristics,Network Traces,,2
Hannah,MiddlePolice: Toward Enforcing Destination-Defined Policies in the Middle of the Internet,https://dl.acm.org/authorize.cfm?key=N14330,CCS,2016,No,Existing,"CAIDA AS relationships dataset, including 52680 ASes and their business relationships",Public,No,http://www.caida.org/data/as-relationships/,Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,SmartWalk: Enhancing Social Network Security via Adaptive Random Walks,https://dl.acm.org/authorize.cfm?key=N14370,CCS,2016,No,Existing,10 various large-scale real-world social network topologies  that  mainly  come  from  the  Stanford  Large  Network Dataset  Collection ,Public,No,http://snap.stanford.edu/data,Industry,Macro-level Internet Characteristics,Topology,,2
Hannah,"CSP Is Dead, Long Live CSP! On the Insecurity of Whitelists and the Future of Content Security Policy",https://dl.acm.org/authorize.cfm?key=N14349,CCS,2016,No,Existing,"data set that is representative of the web as a whole: a search index consisting of about 6.5 petabytes of data Theindex contains the response headers and bodies of pages onthe public Internet crawled within the past 20 days by theGoogle search crawling infrastructure.",No,No,/,Research,Macro-level Internet Characteristics,Topology,,3
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing," full IPv4 reverse DNS scans,",Public,No,https://scans.io/study/sonar.rdns,Industry,Macro-level Internet Characteristics,Topology,,5
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing," Route-Views datasets,",Public,No,http://www.caida.org/data/routing/routeviews-prefix2as.xml,Industry,Macro-level Internet Characteristics,Topology,,5
Hannah," Measurement and Analysis ofPrivate Key Sharing in the HTTPS Ecosystem",https://dl.acm.org/authorize.cfm?key=N14381,CCS,2016,No,Existing,"CAIDA_验s AS-to-Organization dataset,",Public,No,http://www.caida.org/data/as-organizations/,Industry,Macro-level Internet Characteristics,Topology,,5
Hannah,PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,CCS,2016,No,Existing,"exclusive blacklisted .com domains (i.e., not reported by other feeds) on Sour spam trap ",No,No,/,Research,Macro-level Internet Characteristics,Topology,,9
Hannah,Breaking Web Applications Built On Top of Encrypted Data,https://dl.acm.org/authorize.cfm?key=N14459,CCS,2016,No,Existing,using several years_验 worth of Ubuntu IRC logs,Public,No,https://irclogs.ubuntu.com/ ,Industry,Macro-level Internet Characteristics,Topology,,10
Hannah,EpicRec: Towards Practical Differentially Private Framework for Personalized Recommendation,https://dl.acm.org/authorize.cfm?key=N14355,CCS,2016,No,Existing,metadata from the public _岩My API Films_褲 website,Public,No,http://www.myapifilms.com/index.jsp,Industry,Users & Organizations Characteristics,User Activities,,4
Hannah,Heavy Hitter Estimation over Set-Valued Data with Local Differential Privacy,https://dl.acm.org/authorize.cfm?key=N14356,CCS,2016,No,Existing, Kosarak click stream datasets,Public,No,/,Industry,Users & Organizations Characteristics,User Activities,,5
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,sentences and passwords we collected from MneGenEx,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,sentences and passwords we collected from MnePerEx,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,sentences and passwords we collected from MnePer,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,sentences and passwords we collected from MneEx by cross validation,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,evaluate the strength of passwords generated using the variants as well as dataset Yahoo,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,An Empirical Study of Mnemonic Sentence-based Password Generation Strategies,https://dl.acm.org/authorize.cfm?key=N14336,CCS,2016,No,Existing,evaluate the strength of passwords generated using the variants as well as used dataset phpBB against today_验s attacks,No,No,/,Industry,Users & Organizations Characteristics,User Information,,1
Hannah,Membership Privacy in MicroRNA-based Studies,https://dl.acm.org/authorize.cfm?key=N14366,CCS,2016,No,Existing,"The dataset containing more than 1,000 miRNA ex-pression profiles publicly available in the gene expression omnibus (GEO) database under reference GSE6174","Public",No,/,Industry,Users & Organizations Characteristics,User Information,,4
Hannah,On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,No,Existing,RockYou list contains 32 million plaintext passwords,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,5
Hannah,On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,No,Existing,Gmail list contains over 5 million Google Mail credentials and was posted in September 2014 in a Russian Bitcoin forum,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,5
Hannah,On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,No,Existing,Yahoo leak is from July 2012 and was obtained by attacking the Yahoo! Voices publishing service; it contains around 450 thousand passwords,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,5
Hannah,On the Security of Cracking-Resistant Password Vaults,https://dl.acm.org/authorize.cfm?key=N14337,CCS,2016,No,Existing,"MySpace list contains around 55,000 passwords that were posted in October 2006",Public,No,/,Industry,Users & Organizations Characteristics,User Information,,5
Hannah,Generic Attacks on Secure Outsourced Databases,https://dl.acm.org/authorize.cfm?key=N14457,CCS,2016,No,Existing,518 datasets from the Texas Hospital Inpatient Discharge Public Use Data File of 2008 (PUDF),Public,No,https://archive.ahrq.gov/,Industry,Users & Organizations Characteristics,User Information,,11
Hannah,Generic Attacks on Secure Outsourced Databases,https://dl.acm.org/authorize.cfm?key=N14457,CCS,2016,No,Existing,"the 1049 datasets from the 2009 HCUP Nationwide Inpatient Sample (NIS),",Public,No,https://www.hcup-us.ahrq.gov/,Industry,Users & Organizations Characteristics,User Information,,11
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,Dodonew,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,CSDN,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,126,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,12306,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,Rockyou,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,000webhost,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,Xato,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Targeted Online Password Guessing: An Underestimated Threat,https://dl.acm.org/authorize.cfm?key=N14338,CCS,2016,No,Existing,Rootkit,Public,No,/,Industry,Users & Organizations Characteristics,User Information,,21
Hannah,Breaking Web Applications Built On Top of Encrypted Data,https://dl.acm.org/authorize.cfm?key=N14459,CCS,2016,No,Existing,"a dictionary of 354,986 English words ",Public,No,/,Industry,Users & Organizations Characteristics,User Offline Characteristics,,10
Hannah,POPE: Partial Order Preserving Encoding,https://dl.acm.org/authorize.cfm?key=N14329,CCS,2016,No,Existing, 2 million public employee salary figures (California public employee payroll data from 2014,Public,No,http://transparentcalifornia.com/downloads/,Industry,Users & Organizations Characteristics,User Offline Characteristics,,11
